org_id	remap_id
031618537X	0
B00KFOP3RG	6
B003P2WETK	10
0871138255	13
1595555072	17
B077WYPSPX	22
1250819997	24
0385529813	28
1884527388	33
054545901X	35
0670016500	38
B0093AZHMY	42
006240749X	44
0375871152	48
1626347107	50
B00721XIBI	53
B00IVJCE7O	56
0062024051	57
0151013020	58
B01HN509IW	61
0195120183	64
1585676969	69
1455538248	72
B08GYLCFVS	74
B082BCG3GL	76
0778317080	77
0765388111	81
0345502035	83
1556439091	87
0062875469	90
0765321505	93
1401252311	98
4805314532	103
0983206007	107
0471269115	110
B07X6PK1TW	114
1620878070	116
B003J48C3Q	119
1620932393	121
B00GEEB6RW	124
1250026377	127
B084YXNS23	129
B008DX4XEK	130
0515136816	132
0525509151	135
1524796999	138
0316545120	140
B0B1MGP5NM	143
1558322450	145
1695979567	147
0545852501	151
0764232150	153
0529101122	155
1594203350	158
0062015869	163
1647225124	165
1599900734	168
B0771WH5MD	170
1608198111	171
039915440X	174
B072PQXYYJ	175
B088HJ5312	176
0670015547	177
B07H4VZ6BZ	179
B00OV9D99K	182
0770436994	185
0394800184	189
B00AQUQC3I	190
B01M2907UC	191
0515145351	194
0711245436	196
0515095826	199
1524422185	201
0439613833	204
1414372620	207
0312983824	212
1477808728	215
0380817438	217
0446343129	219
0345413865	223
B09WFB2Z94	226
0470424419	228
0142002399	231
0307718344	234
B07H1T5B4W	239
B075H38L6Q	241
045123653X	243
1496700546	245
B0763TB8W1	247
110193459X	249
1503008169	251
B008MBTV2C	253
0062073125	256
B01HILT4B4	258
0307263436	259
B0763SG7QG	263
0307386287	267
0843960213	270
0446358576	272
B098PGQCXH	274
0765399687	276
0446581194	278
1400047455	280
1594483493	282
B00Z3FYSAK	286
B09JP5SG5D	288
1596353066	290
1250142105	292
0515124893	294
B00R163FFS	297
0142002100	300
B00X3N8RXI	302
0374280142	304
B00QPI449E	306
0062659030	310
1493642456	313
0062792318	315
1098355466	319
160342816X	322
B00MLDE97E	324
B07P5HBC88	327
0394536495	328
B0721VNTM1	330
B08FZSZWVQ	332
0800734351	334
0547976526	336
1426714254	339
1501137484	341
1984823884	344
0060557540	348
1538727390	353
0152054367	356
1932735658	359
1416961461	362
0525533451	364
1949467163	366
125005088X	369
0062386344	371
0679752978	374
1534405550	378
080278660X	381
1482055988	383
0763651079	385
1662505299	388
1250127815	391
0954452933	393
1451648979	396
1492664782	401
B00ACJAEM8	403
0785273220	404
1426305230	407
0062654195	410
1400068657	412
1250098645	414
0842329293	415
1451698097	417
0029334357	421
0345807243	424
B003ZK58WC	425
0593358023	427
0316540641	430
B0094JWLYG	432
0758238045	435
1612186084	438
1925820017	440
B07KK1DVLF	442
B09TQFH8BM	445
1603420797	446
0717802418	448
1401684963	450
0345543793	452
1572819200	453
B00RPM9MJ6	456
1434709884	458
1501197428	462
0312989687	465
1416505296	466
0060562560	470
B0BDCMP9H7	472
0785216308	474
1250005892	475
B016IZYP92	476
1250109167	478
0061808407	481
1400202701	483
1250094461	486
045147788X	488
0718022211	490
1605424366	492
1422139069	495
B00KWG5SI6	498
0060530383	500
0316043044	501
0399584226	504
B01N6R2URP	505
B00RKX0PKK	507
1948209152	509
0515124648	513
0679454314	515
B00IUPCKZ0	517
1596358025	519
0399145796	522
B096W2YJQP	524
B0031RS48E	527
0812978803	529
078603257X	531
0446615757	533
1451674775	535
0316693251	539
1465401784	542
1617950084	545
0802131867	547
1538754142	550
0312515820	553
1608618439	555
1743341679	557
1483836088	559
0451172817	564
0871403633	566
B00IGI2BHS	568
1572226978	570
0821775790	574
0385470819	577
